data[0] size (num: 29, frame: 94)
data[1] size (num: 29, frame: 94)
window_size: 20, threshold: 0.7
time:6.96202
(1, 1): 
(1, 2): 
(1, 3): 
(1, 4): 
(1, 5): 
(1, 6): 
(1, 7): 
(1, 8): 
(1, 9): 
(1, 10): 
(1, 11): 
(1, 12): 
(1, 13): 
(1, 14): 
(1, 15): 
(1, 16): 
(1, 17): 
(1, 18): 
(1, 19): 
(1, 20): 
(1, 21): 
(1, 22): 
(1, 23): 
(1, 24): 
(1, 25): 
(1, 26): 
(1, 27): 
(1, 28): 
(1, 29): 
(2, 1): 
(2, 2): 
(2, 3): 
(2, 4): 
(2, 5): 
(2, 6): 
(2, 7): 
(2, 8): 
(2, 9): 
(2, 10): 
(2, 11): 
(2, 12): 
(2, 13): 
(2, 14): 
(2, 15): 
(2, 16): 
(2, 17): 
(2, 18): 
(2, 19): 
(2, 20): 
(2, 21): 
(2, 22): 
(2, 23): 
(2, 24): 
(2, 25): 
(2, 26): 
(2, 27): 
(2, 28): 
(2, 29): 
(3, 1): 
(3, 2): 
(3, 3): 
(3, 4): 
(3, 5): 
(3, 6): 
(3, 7): 
(3, 8): 
( 3,  8) dt:(frame:  -21, time:-1.5564), r: 0.7271201
( 3,  8) dt:(frame:  -20, time:-1.4853), r: 0.7069975
(3, 9): 
(3, 10): 
(3, 11): 
(3, 12): 
(3, 13): 
(3, 14): 
(3, 15): 
(3, 16): 
(3, 17): 
(3, 18): 
(3, 19): 
(3, 20): 
(3, 21): 
(3, 22): 
(3, 23): 
(3, 24): 
(3, 25): 
(3, 26): 
(3, 27): 
(3, 28): 
(3, 29): 
(4, 1): 
(4, 2): 
(4, 3): 
(4, 4): 
(4, 5): 
(4, 6): 
(4, 7): 
(4, 8): 
(4, 9): 
(4, 10): 
(4, 11): 
(4, 12): 
(4, 13): 
(4, 14): 
(4, 15): 
(4, 16): 
(4, 17): 
(4, 18): 
(4, 19): 
(4, 20): 
(4, 21): 
(4, 22): 
(4, 23): 
(4, 24): 
(4, 25): 
(4, 26): 
(4, 27): 
(4, 28): 
(4, 29): 
(5, 1): 
(5, 2): 
(5, 3): 
(5, 4): 
(5, 5): 
(5, 6): 
(5, 7): 
(5, 8): 
( 5,  8) dt:(frame:  -38, time:-2.8152), r: 0.7590764
(5, 9): 
(5, 10): 
(5, 11): 
( 5, 11) dt:(frame:  -38, time:-2.8152), r: 0.7084782
(5, 12): 
(5, 13): 
(5, 14): 
(5, 15): 
(5, 16): 
(5, 17): 
(5, 18): 
(5, 19): 
(5, 20): 
(5, 21): 
(5, 22): 
(5, 23): 
(5, 24): 
(5, 25): 
(5, 26): 
(5, 27): 
(5, 28): 
(5, 29): 
(6, 1): 
(6, 2): 
(6, 3): 
(6, 4): 
(6, 5): 
(6, 6): 
(6, 7): 
(6, 8): 
(6, 9): 
(6, 10): 
(6, 11): 
(6, 12): 
(6, 13): 
(6, 14): 
(6, 15): 
(6, 16): 
(6, 17): 
(6, 18): 
(6, 19): 
(6, 20): 
(6, 21): 
(6, 22): 
(6, 23): 
(6, 24): 
(6, 25): 
(6, 26): 
(6, 27): 
(6, 28): 
(6, 29): 
(7, 1): 
(7, 2): 
(7, 3): 
(7, 4): 
(7, 5): 
(7, 6): 
(7, 7): 
(7, 8): 
(7, 9): 
(7, 10): 
(7, 11): 
(7, 12): 
(7, 13): 
(7, 14): 
(7, 15): 
(7, 16): 
(7, 17): 
(7, 18): 
(7, 19): 
(7, 20): 
(7, 21): 
(7, 22): 
(7, 23): 
(7, 24): 
(7, 25): 
(7, 26): 
(7, 27): 
(7, 28): 
(7, 29): 
(8, 1): 
(8, 2): 
(8, 3): 
(8, 4): 
(8, 5): 
(8, 6): 
(8, 7): 
(8, 8): 
(8, 9): 
(8, 10): 
(8, 11): 
(8, 12): 
(8, 13): 
(8, 14): 
(8, 15): 
(8, 16): 
(8, 17): 
( 8, 17) dt:(frame:  -26, time:-1.9227), r: -0.7067212
(8, 18): 
(8, 19): 
(8, 20): 
(8, 21): 
(8, 22): 
(8, 23): 
(8, 24): 
(8, 25): 
(8, 26): 
(8, 27): 
(8, 28): 
(8, 29): 
(9, 1): 
(9, 2): 
( 9,  2) dt:(frame:   39, time:2.8938), r: -0.7576846
( 9,  2) dt:(frame:   40, time:2.9721), r: -0.7747756
( 9,  2) dt:(frame:   41, time:3.0418), r: -0.7476492
( 9,  2) dt:(frame:   49, time:3.6537), r: 0.7436138
( 9,  2) dt:(frame:   50, time:3.7235), r: 0.7374781
( 9,  2) dt:(frame:   51, time:3.7910), r: 0.8027770
( 9,  2) dt:(frame:   52, time:3.8603), r: 0.8023966
( 9,  2) dt:(frame:   53, time:3.9311), r: 0.7359636
(9, 3): 
( 9,  3) dt:(frame:   36, time:2.6597), r: -0.7426807
( 9,  3) dt:(frame:   37, time:2.7374), r: -0.7662893
( 9,  3) dt:(frame:   38, time:2.8152), r: -0.7456135
( 9,  3) dt:(frame:   39, time:2.8938), r: -0.7883459
( 9,  3) dt:(frame:   52, time:3.8603), r: 0.7417469
( 9,  3) dt:(frame:   53, time:3.9311), r: 0.7792742
( 9,  3) dt:(frame:   54, time:4.0031), r: 0.7279572
(9, 4): 
(9, 5): 
( 9,  5) dt:(frame:   31, time:2.2868), r: -0.7718804
( 9,  5) dt:(frame:   33, time:2.4415), r: -0.7561317
( 9,  5) dt:(frame:   34, time:2.5161), r: -0.7666269
( 9,  5) dt:(frame:   40, time:2.9721), r: -0.7090288
( 9,  5) dt:(frame:   42, time:3.1134), r: -0.7438770
( 9,  5) dt:(frame:   43, time:3.1851), r: -0.7385365
( 9,  5) dt:(frame:   53, time:3.9311), r: 0.8026976
( 9,  5) dt:(frame:   54, time:4.0031), r: 0.7739596
( 9,  5) dt:(frame:   55, time:4.0779), r: 0.7989779
( 9,  5) dt:(frame:   56, time:4.1475), r: 0.7793453
(9, 6): 
( 9,  6) dt:(frame:   41, time:3.0418), r: -0.7324393
( 9,  6) dt:(frame:   42, time:3.1134), r: -0.7437959
( 9,  6) dt:(frame:   43, time:3.1851), r: -0.7483473
( 9,  6) dt:(frame:   44, time:3.2556), r: -0.7446376
( 9,  6) dt:(frame:   53, time:3.9311), r: 0.7373055
( 9,  6) dt:(frame:   54, time:4.0031), r: 0.7449189
( 9,  6) dt:(frame:   55, time:4.0779), r: 0.7036861
(9, 7): 
( 9,  7) dt:(frame:   39, time:2.8938), r: -0.7754730
( 9,  7) dt:(frame:   40, time:2.9721), r: -0.8102290
( 9,  7) dt:(frame:   41, time:3.0418), r: -0.7782689
( 9,  7) dt:(frame:   50, time:3.7235), r: 0.7446676
( 9,  7) dt:(frame:   51, time:3.7910), r: 0.7728426
( 9,  7) dt:(frame:   52, time:3.8603), r: 0.8266127
( 9,  7) dt:(frame:   53, time:3.9311), r: 0.8194097
( 9,  7) dt:(frame:   54, time:4.0031), r: 0.7177343
(9, 8): 
( 9,  8) dt:(frame:  -17, time:-1.2650), r: 0.7674857
( 9,  8) dt:(frame:   41, time:3.0418), r: 0.7003219
( 9,  8) dt:(frame:   42, time:3.1134), r: 0.7584521
( 9,  8) dt:(frame:   43, time:3.1851), r: 0.7169547
( 9,  8) dt:(frame:   52, time:3.8603), r: -0.7553408
( 9,  8) dt:(frame:   53, time:3.9311), r: -0.7313666
(9, 9): 
(9, 10): 
( 9, 10) dt:(frame:  -17, time:-1.2650), r: 0.7338644
( 9, 10) dt:(frame:   43, time:3.1851), r: 0.7717782
( 9, 10) dt:(frame:   52, time:3.8603), r: -0.7299943
(9, 11): 
( 9, 11) dt:(frame:  -17, time:-1.2650), r: 0.7306916
( 9, 11) dt:(frame:   32, time:2.3606), r: 0.7216913
( 9, 11) dt:(frame:   52, time:3.8603), r: -0.7347641
(9, 12): 
( 9, 12) dt:(frame:   36, time:2.6597), r: -0.7446177
( 9, 12) dt:(frame:   37, time:2.7374), r: -0.7175714
( 9, 12) dt:(frame:   38, time:2.8152), r: -0.7523358
( 9, 12) dt:(frame:   39, time:2.8938), r: -0.8033051
( 9, 12) dt:(frame:   40, time:2.9721), r: -0.7294078
( 9, 12) dt:(frame:   49, time:3.6537), r: -0.7418641
( 9, 12) dt:(frame:   51, time:3.7910), r: -0.7829236
( 9, 12) dt:(frame:   52, time:3.8603), r: -0.8297549
( 9, 12) dt:(frame:   53, time:3.9311), r: -0.7550421
(9, 13): 
( 9, 13) dt:(frame:   45, time:3.3655), r: -0.7454650
( 9, 13) dt:(frame:   47, time:3.5096), r: -0.7793802
( 9, 13) dt:(frame:   48, time:3.5813), r: -0.8283061
( 9, 13) dt:(frame:   49, time:3.6537), r: -0.7477742
(9, 14): 
( 9, 14) dt:(frame:    5, time:0.3777), r: 0.7708278
( 9, 14) dt:(frame:    6, time:0.4538), r: 0.7263763
( 9, 14) dt:(frame:   25, time:1.8518), r: -0.7373713
( 9, 14) dt:(frame:   34, time:2.5161), r: 0.7359994
( 9, 14) dt:(frame:   36, time:2.6597), r: 0.7490038
( 9, 14) dt:(frame:   37, time:2.7374), r: 0.7220762
( 9, 14) dt:(frame:   38, time:2.8152), r: 0.7312210
( 9, 14) dt:(frame:   39, time:2.8938), r: 0.7285803
( 9, 14) dt:(frame:   52, time:3.8603), r: -0.7681318
( 9, 14) dt:(frame:   53, time:3.9311), r: -0.7435869
(9, 15): 
(9, 16): 
( 9, 16) dt:(frame:   41, time:3.0418), r: 0.7188160
( 9, 16) dt:(frame:   43, time:3.1851), r: 0.7609090
( 9, 16) dt:(frame:   44, time:3.2556), r: 0.7102198
( 9, 16) dt:(frame:   52, time:3.8603), r: -0.7056680
( 9, 16) dt:(frame:   53, time:3.9311), r: -0.7776215
( 9, 16) dt:(frame:   54, time:4.0031), r: -0.7546971
( 9, 16) dt:(frame:   55, time:4.0779), r: -0.7266575
(9, 17): 
( 9, 17) dt:(frame:    5, time:0.3777), r: 0.7571817
( 9, 17) dt:(frame:    6, time:0.4538), r: 0.7330769
( 9, 17) dt:(frame:   16, time:1.1899), r: -0.7738484
(9, 18): 
(9, 19): 
(9, 20): 
( 9, 20) dt:(frame:   38, time:2.8152), r: 0.7036397
( 9, 20) dt:(frame:   39, time:2.8938), r: 0.7844936
( 9, 20) dt:(frame:   40, time:2.9721), r: 0.7851470
( 9, 20) dt:(frame:   41, time:3.0418), r: 0.7485451
( 9, 20) dt:(frame:   49, time:3.6537), r: -0.7163367
( 9, 20) dt:(frame:   50, time:3.7235), r: -0.7465283
( 9, 20) dt:(frame:   51, time:3.7910), r: -0.7236948
( 9, 20) dt:(frame:   52, time:3.8603), r: -0.7154191
( 9, 20) dt:(frame:   53, time:3.9311), r: -0.7941800
(9, 21): 
( 9, 21) dt:(frame:   36, time:2.6597), r: 0.7008134
( 9, 21) dt:(frame:   38, time:2.8152), r: 0.7353463
( 9, 21) dt:(frame:   39, time:2.8938), r: 0.8128346
( 9, 21) dt:(frame:   40, time:2.9721), r: 0.7917711
( 9, 21) dt:(frame:   41, time:3.0418), r: 0.7136125
( 9, 21) dt:(frame:   49, time:3.6537), r: -0.7267514
( 9, 21) dt:(frame:   50, time:3.7235), r: -0.7955954
( 9, 21) dt:(frame:   51, time:3.7910), r: -0.7595697
( 9, 21) dt:(frame:   52, time:3.8603), r: -0.7577178
( 9, 21) dt:(frame:   53, time:3.9311), r: -0.7516028
(9, 22): 
(9, 23): 
( 9, 23) dt:(frame:   50, time:3.7235), r: 0.7284034
( 9, 23) dt:(frame:   51, time:3.7910), r: 0.7579603
( 9, 23) dt:(frame:   52, time:3.8603), r: 0.7058684
(9, 24): 
(9, 25): 
( 9, 25) dt:(frame:   39, time:2.8938), r: 0.7786688
( 9, 25) dt:(frame:   40, time:2.9721), r: 0.7946927
( 9, 25) dt:(frame:   41, time:3.0418), r: 0.7881225
( 9, 25) dt:(frame:   42, time:3.1134), r: 0.7517819
( 9, 25) dt:(frame:   51, time:3.7910), r: -0.7639864
( 9, 25) dt:(frame:   52, time:3.8603), r: -0.7978807
( 9, 25) dt:(frame:   53, time:3.9311), r: -0.7934347
( 9, 25) dt:(frame:   54, time:4.0031), r: -0.7401835
(9, 26): 
( 9, 26) dt:(frame:   36, time:2.6597), r: 0.7400582
( 9, 26) dt:(frame:   38, time:2.8152), r: 0.7679572
( 9, 26) dt:(frame:   39, time:2.8938), r: 0.8241809
( 9, 26) dt:(frame:   40, time:2.9721), r: 0.7741399
( 9, 26) dt:(frame:   49, time:3.6537), r: 0.7386003
( 9, 26) dt:(frame:   51, time:3.7910), r: 0.7795778
( 9, 26) dt:(frame:   52, time:3.8603), r: 0.8303536
( 9, 26) dt:(frame:   53, time:3.9311), r: 0.7603271
(9, 27): 
( 9, 27) dt:(frame:   36, time:2.6597), r: -0.7424617
( 9, 27) dt:(frame:   38, time:2.8152), r: -0.7616446
( 9, 27) dt:(frame:   39, time:2.8938), r: -0.8188058
( 9, 27) dt:(frame:   40, time:2.9721), r: -0.7701904
( 9, 27) dt:(frame:   49, time:3.6537), r: -0.7400157
( 9, 27) dt:(frame:   51, time:3.7910), r: -0.7805334
( 9, 27) dt:(frame:   52, time:3.8603), r: -0.8300411
( 9, 27) dt:(frame:   53, time:3.9311), r: -0.7623144
(9, 28): 
( 9, 28) dt:(frame:   38, time:2.8152), r: -0.7058577
( 9, 28) dt:(frame:   39, time:2.8938), r: -0.7872776
( 9, 28) dt:(frame:   40, time:2.9721), r: -0.7984338
( 9, 28) dt:(frame:   41, time:3.0418), r: -0.7879199
( 9, 28) dt:(frame:   42, time:3.1134), r: -0.7468057
( 9, 28) dt:(frame:   51, time:3.7910), r: 0.7713154
( 9, 28) dt:(frame:   52, time:3.8603), r: 0.7979736
( 9, 28) dt:(frame:   53, time:3.9311), r: 0.7930020
( 9, 28) dt:(frame:   54, time:4.0031), r: 0.7405083
(9, 29): 
( 9, 29) dt:(frame:   38, time:2.8152), r: 0.7311053
( 9, 29) dt:(frame:   39, time:2.8938), r: 0.7871995
( 9, 29) dt:(frame:   40, time:2.9721), r: 0.7824876
( 9, 29) dt:(frame:   41, time:3.0418), r: 0.7747188
( 9, 29) dt:(frame:   42, time:3.1134), r: 0.7496096
( 9, 29) dt:(frame:   43, time:3.1851), r: 0.7107282
(10, 1): 
(10, 2): 
(10,  2) dt:(frame:   39, time:2.8938), r: 0.7168886
(10,  2) dt:(frame:   40, time:2.9721), r: 0.7329080
(10,  2) dt:(frame:   41, time:3.0418), r: 0.7108140
(10,  2) dt:(frame:   49, time:3.6537), r: -0.7074565
(10,  2) dt:(frame:   51, time:3.7910), r: -0.7613889
(10,  2) dt:(frame:   52, time:3.8603), r: -0.7641262
(10, 3): 
(10,  3) dt:(frame:   37, time:2.7374), r: 0.7246043
(10,  3) dt:(frame:   38, time:2.8152), r: 0.7054001
(10,  3) dt:(frame:   39, time:2.8938), r: 0.7606650
(10,  3) dt:(frame:   52, time:3.8603), r: -0.7115641
(10,  3) dt:(frame:   53, time:3.9311), r: -0.7577271
(10,  3) dt:(frame:   54, time:4.0031), r: -0.7024445
(10, 4): 
(10, 5): 
(10,  5) dt:(frame:   31, time:2.2868), r: 0.7286702
(10,  5) dt:(frame:   33, time:2.4415), r: 0.7111070
(10,  5) dt:(frame:   34, time:2.5161), r: 0.7305450
(10,  5) dt:(frame:   42, time:3.1134), r: 0.7015557
(10,  5) dt:(frame:   53, time:3.9311), r: -0.7653361
(10,  5) dt:(frame:   54, time:4.0031), r: -0.7325037
(10,  5) dt:(frame:   55, time:4.0779), r: -0.7601225
(10,  5) dt:(frame:   56, time:4.1475), r: -0.7421016
(10, 6): 
(10,  6) dt:(frame:   43, time:3.1851), r: 0.7039227
(10,  6) dt:(frame:   44, time:3.2556), r: 0.7137313
(10, 7): 
(10,  7) dt:(frame:   39, time:2.8938), r: 0.7361318
(10,  7) dt:(frame:   40, time:2.9721), r: 0.7749194
(10,  7) dt:(frame:   41, time:3.0418), r: 0.7385626
(10,  7) dt:(frame:   51, time:3.7910), r: -0.7272987
(10,  7) dt:(frame:   52, time:3.8603), r: -0.7899428
(10,  7) dt:(frame:   53, time:3.9311), r: -0.7794690
(10, 8): 
(10,  8) dt:(frame:  -43, time:-3.1851), r: 0.7988227
(10,  8) dt:(frame:   42, time:3.1134), r: -0.7180684
(10,  8) dt:(frame:   52, time:3.8603), r: 0.7427440
(10,  8) dt:(frame:   53, time:3.9311), r: 0.7160906
(10, 9): 
(10, 10): 
(10, 10) dt:(frame:  -43, time:-3.1851), r: 0.7278734
(10, 10) dt:(frame:   43, time:3.1851), r: -0.7484503
(10, 10) dt:(frame:   52, time:3.8603), r: 0.7084914
(10, 11): 
(10, 11) dt:(frame:  -43, time:-3.1851), r: 0.7539500
(10, 11) dt:(frame:   32, time:2.3606), r: -0.7106791
(10, 11) dt:(frame:   52, time:3.8603), r: 0.7115622
(10, 12): 
(10, 12) dt:(frame:   36, time:2.6597), r: 0.7022342
(10, 12) dt:(frame:   38, time:2.8152), r: 0.7101347
(10, 12) dt:(frame:   39, time:2.8938), r: 0.7775453
(10, 12) dt:(frame:   40, time:2.9721), r: 0.7012524
(10, 12) dt:(frame:   49, time:3.6537), r: 0.7007974
(10, 12) dt:(frame:   51, time:3.7910), r: 0.7415357
(10, 12) dt:(frame:   52, time:3.8603), r: 0.8003919
(10, 12) dt:(frame:   53, time:3.9311), r: 0.7168582
(10, 13): 
(10, 13) dt:(frame:   45, time:3.3655), r: 0.7021569
(10, 13) dt:(frame:   47, time:3.5096), r: 0.7376094
(10, 13) dt:(frame:   48, time:3.5813), r: 0.8002992
(10, 13) dt:(frame:   49, time:3.6537), r: 0.7107819
(10, 14): 
(10, 14) dt:(frame:    5, time:0.3777), r: -0.7442929
(10, 14) dt:(frame:   25, time:1.8518), r: 0.7060591
(10, 14) dt:(frame:   36, time:2.6597), r: -0.7014255
(10, 14) dt:(frame:   52, time:3.8603), r: 0.7524088
(10, 14) dt:(frame:   53, time:3.9311), r: 0.7185571
(10, 15): 
(10, 16): 
(10, 16) dt:(frame:   43, time:3.1851), r: -0.7270079
(10, 16) dt:(frame:   53, time:3.9311), r: 0.7331382
(10, 16) dt:(frame:   54, time:4.0031), r: 0.7132234
(10, 17): 
(10, 17) dt:(frame:    5, time:0.3777), r: -0.7296527
(10, 17) dt:(frame:   16, time:1.1899), r: 0.7389166
(10, 18): 
(10, 19): 
(10, 20): 
(10, 20) dt:(frame:   39, time:2.8938), r: -0.7383041
(10, 20) dt:(frame:   40, time:2.9721), r: -0.7408799
(10, 20) dt:(frame:   41, time:3.0418), r: -0.7050763
(10, 20) dt:(frame:   50, time:3.7235), r: 0.7092279
(10, 20) dt:(frame:   53, time:3.9311), r: 0.7590561
(10, 21): 
(10, 21) dt:(frame:   39, time:2.8938), r: -0.7719707
(10, 21) dt:(frame:   40, time:2.9721), r: -0.7549345
(10, 21) dt:(frame:   50, time:3.7235), r: 0.7617405
(10, 21) dt:(frame:   51, time:3.7910), r: 0.7200691
(10, 21) dt:(frame:   52, time:3.8603), r: 0.7116144
(10, 21) dt:(frame:   53, time:3.9311), r: 0.7068816
(10, 22): 
(10, 23): 
(10, 23) dt:(frame:   50, time:3.7235), r: -0.7014549
(10, 23) dt:(frame:   51, time:3.7910), r: -0.7187209
(10, 24): 
(10, 25): 
(10, 25) dt:(frame:   39, time:2.8938), r: -0.7325380
(10, 25) dt:(frame:   40, time:2.9721), r: -0.7486670
(10, 25) dt:(frame:   41, time:3.0418), r: -0.7404202
(10, 25) dt:(frame:   42, time:3.1134), r: -0.7084231
(10, 25) dt:(frame:   51, time:3.7910), r: 0.7256242
(10, 25) dt:(frame:   52, time:3.8603), r: 0.7567754
(10, 25) dt:(frame:   53, time:3.9311), r: 0.7498266
(10, 26): 
(10, 26) dt:(frame:   38, time:2.8152), r: -0.7237185
(10, 26) dt:(frame:   39, time:2.8938), r: -0.7943005
(10, 26) dt:(frame:   40, time:2.9721), r: -0.7414006
(10, 26) dt:(frame:   51, time:3.7910), r: -0.7369966
(10, 26) dt:(frame:   52, time:3.8603), r: -0.8009855
(10, 26) dt:(frame:   53, time:3.9311), r: -0.7230801
(10, 27): 
(10, 27) dt:(frame:   38, time:2.8152), r: 0.7177798
(10, 27) dt:(frame:   39, time:2.8938), r: 0.7896066
(10, 27) dt:(frame:   40, time:2.9721), r: 0.7377233
(10, 27) dt:(frame:   51, time:3.7910), r: 0.7374585
(10, 27) dt:(frame:   52, time:3.8603), r: 0.7999709
(10, 27) dt:(frame:   53, time:3.9311), r: 0.7248629
(10, 28): 
(10, 28) dt:(frame:   39, time:2.8938), r: 0.7413329
(10, 28) dt:(frame:   40, time:2.9721), r: 0.7525424
(10, 28) dt:(frame:   41, time:3.0418), r: 0.7405399
(10, 28) dt:(frame:   42, time:3.1134), r: 0.7040096
(10, 28) dt:(frame:   51, time:3.7910), r: -0.7314026
(10, 28) dt:(frame:   52, time:3.8603), r: -0.7554778
(10, 28) dt:(frame:   53, time:3.9311), r: -0.7489779
(10, 29): 
(10, 29) dt:(frame:   39, time:2.8938), r: -0.7449335
(10, 29) dt:(frame:   40, time:2.9721), r: -0.7368083
(10, 29) dt:(frame:   41, time:3.0418), r: -0.7263497
(11, 1): 
(11, 2): 
(11,  2) dt:(frame:   36, time:2.6597), r: -0.7093359
(11,  2) dt:(frame:   37, time:2.7374), r: -0.7246284
(11,  2) dt:(frame:   38, time:2.8152), r: -0.7220087
(11,  2) dt:(frame:   56, time:4.1475), r: 0.7187818
(11, 3): 
